run_id,npz_name,source_kind,source_path,source_member,experiment,status,run_kind,timestamp_utc,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,signal_frequency_hz,signal_frequency_measured_hz,fir_mode,power_tier_dbm,nblocks_requested,stale_blocks_dropped,nblocks_saved,nsamples,device_index,direct,gain_db,adc_mean_block_rms,adc_max,adc_min,adc_is_clipped,adc_passes_guard,guard_attempts,array_nblocks,array_nsamples
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm30p0,e1_sr1000000_f1217391_idx13_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1217391_idx13_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:23:34.114629+00:00,1000000.0,1000000.026490954,0.02649095398373902,1217391.3043478262,1217391.3043478262,alias_hack,-30.0,6,1,5,2048,0,True,0.0,25.818570296160793,25,-47,False,True,1,5,2048
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm40p0,e1_sr1000000_f1217391_idx13_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1217391_idx13_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:32.069775+00:00,1000000.0,1000000.026490954,0.02649095398373902,1217391.3043478262,1217391.3043478262,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.9104650976162395,1,-3,False,False,3,5,2048
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm50p0,e1_sr1000000_f1217391_idx13_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1217391_idx13_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:28.015117+00:00,1000000.0,1000000.026490954,0.02649095398373902,1217391.3043478262,1217391.3043478262,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.5010607097555912,1,-1,False,False,3,5,2048
e1_sr1000000_f1217391_idx13_fir_default__pm10p0,e1_sr1000000_f1217391_idx13_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1217391_idx13_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:05.040137+00:00,1000000.0,1000000.026490954,0.02649095398373902,1217391.3043478262,1217391.3043478262,default,-10.0,6,1,5,2048,0,True,0.0,13.650242435953022,27,-4,False,True,1,5,2048
e1_sr1000000_f1217391_idx13_fir_default__pp0p0,e1_sr1000000_f1217391_idx13_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1217391_idx13_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:06.972866+00:00,1000000.0,1000000.026490954,0.02649095398373902,1217391.3043478262,1217391.3043478262,default,0.0,6,1,5,2048,0,True,0.0,64.05286923539184,85,39,False,True,1,5,2048
e1_sr1000000_f1217391_idx13_fir_default__pp10p0,e1_sr1000000_f1217391_idx13_fir_default__pp10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1217391_idx13_fir_default__pp10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:08.896839+00:00,1000000.0,1000000.026490954,0.02649095398373902,1217391.3043478262,1217391.3043478262,default,10.0,6,1,5,2048,0,True,0.0,46.67497757983099,65,33,False,True,1,5,2048
e1_sr1000000_f1304348_idx14_fir_alias_hack__pm30p0,e1_sr1000000_f1304348_idx14_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1304348_idx14_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:23:45.276778+00:00,1000000.0,1000000.026490954,0.02649095398373902,1304347.8260869565,1304347.8260869565,alias_hack,-30.0,6,1,5,2048,0,True,0.0,24.826917656168067,21,-47,False,True,1,5,2048
e1_sr1000000_f1304348_idx14_fir_alias_hack__pm40p0,e1_sr1000000_f1304348_idx14_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1304348_idx14_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:43.230444+00:00,1000000.0,1000000.026490954,0.02649095398373902,1304347.8260869565,1304347.8260869565,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.8941289250546889,1,-2,False,False,3,5,2048
e1_sr1000000_f1304348_idx14_fir_alias_hack__pm50p0,e1_sr1000000_f1304348_idx14_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1304348_idx14_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:23:39.182264+00:00,1000000.0,1000000.026490954,0.02649095398373902,1304347.8260869565,1304347.8260869565,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.4649434441685205,0,-1,False,False,3,5,2048
e1_sr1000000_f1304348_idx14_fir_default__pm10p0,e1_sr1000000_f1304348_idx14_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1304348_idx14_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:11.825027+00:00,1000000.0,1000000.026490954,0.02649095398373902,1304347.8260869565,1304347.8260869565,default,-10.0,6,1,5,2048,0,True,0.0,14.461774553535577,29,-3,False,True,1,5,2048
