run_id,experiment,sample_rate_hz,center_frequency_hz,tones_hz,source_power_dbm,mixer_config,cable_config,n_samples,run_kind,status,n_blocks_saved,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,target_vrms_v,mode,notes,qc_analysis_pass,qc_recommended_pass
e3_20260209T054629Z,E3,3200000.0,0.0,"[333333.3, 250000.0]",-27.9,,,2048,physical_voltage_power,captured,5,3200000.0,3200000.0,0.0,0.014,two_tone,,True,True
e3_20260209T054708Z,E3,3200000.0,0.0,[333333.3],-27.9,,,2048,physical_voltage_power,captured,5,3200000.0,3200000.0,0.0,0.0201,single_tone,,True,True
e3_20260209T054801Z,E3,3200000.0,0.0,[250000.0],-27.9,,,2048,physical_voltage_power,captured,5,3200000.0,3200000.0,0.0,0.0201,single_tone,,True,True
e3_20260209T054900Z,E3,3200000.0,0.0,[333333.3],-24.6,,,2048,physical_voltage_power,captured,5,3200000.0,3200000.0,0.0,0.0301,single_tone,,True,True
