frequency_hz,amplitude_v,reference_amplitude_v,gain_linear,gain_db,mode,run_id,curve_label,fir_mode,sample_rate_hz_nominal,power_tier_dbm,status,qc_analysis_pass,qc_recommended_pass,selection_preferred_power_dbm,selection_used_preferred_mode_power,source_kind,source_path,source_member,frequency_normalized_to_nyquist,frequency_normalized_to_fs
56410.08229146826,53.71485451718636,116.34340907277237,0.461692286183465,-6.712947629009292,default@1.0MHz,e2_sr1000000_f56410_idx16_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f56410_idx16_fir_default__pm30p0.npz,0.11282016164961232,0.05641008082480616
62851.62767093236,64.47609220004922,116.34340907277237,0.554187750848178,-5.12686155223181,default@1.0MHz,e2_sr1000000_f62852_idx17_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f62852_idx17_fir_default__pm30p0.npz,0.12570325207358016,0.06285162603679008
70028.7420336378,75.43828425365136,116.34340907277237,0.6484104673816545,-3.7629996577968083,default@1.0MHz,e2_sr1000000_f70029_idx18_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f70029_idx18_fir_default__pm30p0.npz,0.14005748042578112,0.07002874021289056
78025.42101995258,88.24457173819584,116.34340907277237,0.7584836342813299,-2.4010757100167233,default@1.0MHz,e2_sr1000000_f78025_idx19_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f78025_idx19_fir_default__pm30p0.npz,0.1560508379825834,0.0780254189912917
86935.2518486843,97.19017073952719,116.34340907277237,0.8353732412872232,-1.5623888037647236,default@1.0MHz,e2_sr1000000_f86935_idx20_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f86935_idx20_fir_default__pm30p0.npz,0.17387049917673564,0.08693524958836782
96862.50859269968,103.63259950838078,116.34340907277237,0.8907474891298652,-1.0049078635935242,default@1.0MHz,e2_sr1000000_f96863_idx21_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f96863_idx21_fir_default__pm30p0.npz,0.19372501214854906,0.09686250607427453
107923.3725255819,106.88387269824486,116.34340907277237,0.9186929758211692,-0.7365920831571672,default@1.0MHz,e2_sr1000000_f107923_idx22_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f107923_idx22_fir_default__pm30p0.npz,0.2158467394391486,0.1079233697195743
120247.29182136159,109.29048916792495,116.34340907277237,0.9393784318247383,-0.5431883092217326,default@1.0MHz,e2_sr1000000_f120247_idx23_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f120247_idx23_fir_default__pm30p0.npz,0.24049457738986418,0.12024728869493209
133978.4965202442,111.15863716328897,116.34340907277237,0.9554356198532884,-0.3959714340203425,default@1.0MHz,e2_sr1000000_f133978_idx24_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f133978_idx24_fir_default__pm30p0.npz,0.26795698607360674,0.13397849303680337
149277.68649036897,112.89535598384882,116.34340907277237,0.9703631420429943,-0.26131415856223694,default@1.0MHz,e2_sr1000000_f149278_idx25_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f149278_idx25_fir_default__pm30p0.npz,0.29855536521829845,0.14927768260914923
166323.9121402571,113.90387089339197,116.34340907277237,0.9790315738654822,-0.1840660386167839,default@1.0MHz,e2_sr1000000_f166324_idx26_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f166324_idx26_fir_default__pm30p0.npz,0.332647815631671,0.1663239078158355
