run_id,experiment,sample_rate_hz,center_frequency_hz,tones_hz,source_power_dbm,mixer_config,cable_config,n_samples,run_kind,status,n_blocks_saved,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,qc_analysis_pass,qc_recommended_pass
e2_sr1000000_f10000_idx00_fir_default__pm10p0,E2,1000000.026490954,0.0,[10000.0],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f10000_idx00_fir_default__pm30p0,E2,1000000.026490954,0.0,[10000.0],-30.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f1045373_idx43_fir_default__pm30p0,E2,1000000.026490954,0.0,[1045372.8598612307],-30.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e2_sr1000000_f107923_idx22_fir_default__pm10p0,E2,1000000.026490954,0.0,[107923.3725255819],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f107923_idx22_fir_default__pm30p0,E2,1000000.026490954,0.0,[107923.3725255819],-30.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f11142_idx01_fir_default__pm10p0,E2,1000000.026490954,0.0,[11141.913841958418],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f11142_idx01_fir_default__pm30p0,E2,1000000.026490954,0.0,[11141.913841958418],-30.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f1164745_idx44_fir_default__pm30p0,E2,1000000.026490954,0.0,[1164745.4337295503],-30.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e2_sr1000000_f120247_idx23_fir_default__pm10p0,E2,1000000.026490954,0.0,[120247.29182136159],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f120247_idx23_fir_default__pm30p0,E2,1000000.026490954,0.0,[120247.29182136159],-30.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e2_sr1000000_f12414_idx02_fir_default__pm10p0,E2,1000000.026490954,0.0,[12414.224406162486],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,bandpass_sweep_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
