run_id,npz_name,source_kind,source_path,source_member,experiment,status,run_kind,timestamp_utc,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,mode,target_vrms_v,mixer_config,cable_config,notes,tones_hz_json,n_signal_generators,sg1_frequency_hz,sg1_power_dbm,sg2_frequency_hz,sg2_power_dbm,source_power_dbm_mean,nblocks_requested,stale_blocks_dropped,nblocks_saved,nsamples,device_index,direct,gain_db,adc_mean_block_rms,adc_max,adc_min,adc_is_clipped,adc_passes_guard,guard_attempts,array_nblocks,array_nsamples,qc_has_required_metadata,qc_has_adc_shape,qc_nblocks_policy_ok,qc_status_ok,qc_analysis_pass,qc_recommended_pass,qc_reason
e3_20260209T054629Z,e3_20260209T054629Z.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e3.tar.gz,data/raw/e3/e3_20260209T054629Z.npz,E3,captured,physical_voltage_power,2026-02-09T05:46:31.035299+00:00,3200000.0,3200000.0,0.0,two_tone,0.014,,,,"[333333.3, 250000.0]",2,333333.3,-27.9,250000.0,-27.9,-27.9,6,1,5,2048,0,True,0.0,50.7283644557807,79,-80,False,True,1,5,2048,True,True,True,True,True,True,ok
e3_20260209T054708Z,e3_20260209T054708Z.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e3.tar.gz,data/raw/e3/e3_20260209T054708Z.npz,E3,captured,physical_voltage_power,2026-02-09T05:47:09.809103+00:00,3200000.0,3200000.0,0.0,single_tone,0.0201,,,,[333333.3],1,333333.3,-27.9,,,-27.9,6,1,5,2048,0,True,0.0,41.34708334611837,64,-65,False,True,1,5,2048,True,True,True,True,True,True,ok
e3_20260209T054801Z,e3_20260209T054801Z.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e3.tar.gz,data/raw/e3/e3_20260209T054801Z.npz,E3,captured,physical_voltage_power,2026-02-09T05:48:02.820522+00:00,3200000.0,3200000.0,0.0,single_tone,0.0201,,,,[250000.0],1,250000.0,-27.9,,,-27.9,6,1,5,2048,0,True,0.0,62.70159723963288,80,-81,False,True,1,5,2048,True,True,True,True,True,True,ok
e3_20260209T054900Z,e3_20260209T054900Z.npz,tar,/Users/junruiting/GitHub/ugradio/labs/01/data/raw/e3.tar.gz,data/raw/e3/e3_20260209T054900Z.npz,E3,captured,physical_voltage_power,2026-02-09T05:49:01.751085+00:00,3200000.0,3200000.0,0.0,single_tone,0.0301,,,,[333333.3],1,333333.3,-24.6,,,-24.6,6,1,5,2048,0,True,0.0,50.97615174649743,65,-66,False,True,1,5,2048,True,True,True,True,True,True,ok
