run_id,mode,sample_rate_hz,frequency_hz,voltage_real_v,voltage_imag_v,voltage_mag_v,voltage_phase_rad,voltage_mag_block_std_v,power_v2,power_block_std_v2,power_from_voltage_v2,power_consistency_delta_v2,n_blocks_used,qc_analysis_pass,qc_recommended_pass,adc_passes_guard,adc_is_clipped,source_power_dbm,target_vrms_v,tones_hz_json
e3_20260209T054900Z,single_tone,3200000.0,853124.9999999999,0.0048618513365990546,-0.004552265106512275,0.006660384074447902,-0.7525246904347166,0.0133583707388779,0.00043244505006481145,0.0006469514437976516,4.4360716019159236e-05,0.0003880843340456522,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,854687.4999999999,0.006958501431350368,-0.0009242395665169101,0.00701961259233161,-0.13204874239454864,0.014423112248635116,0.0005309176782047077,0.000733419625172843,4.92749609464205e-05,0.00048164271725828717,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,856249.9999999999,0.0032370534510429943,-0.012495844096361886,0.01290831649462824,-1.317317942502839,0.01494506324243114,0.00044269108559671775,0.0006782906131207498,0.00016662463472549152,0.00027606645087122625,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,857812.4999999999,0.007615034768872996,-0.01726199198242819,0.018867037969235122,-1.1553308985306066,0.015957977687637764,0.0007519860410299767,0.000977098520616976,0.00035596512173255977,0.0003960209192974169,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,859374.9999999999,0.009954272118891596,6.528453386707642e-05,0.009954486199061448,0.006558349729603401,0.008511387713026211,0.0003318225354133412,0.0003202676648022526,9.909179548730484e-05,0.00023273073992603638,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,860937.4999999999,0.005595822239122579,-0.0049909883280362145,0.007498212521824955,-0.7283293090872199,0.01311889901574163,0.0005273473839789982,0.0006651373967774955,5.6223191022452556e-05,0.0004711241929565456,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,862499.9999999999,0.006078589115675189,-0.0021928327059770325,0.006462024521278717,-0.346216707226312,0.015787788931823574,0.0006930805746931978,0.0008503485113450084,4.1757760913607425e-05,0.0006513228137795903,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,864062.4999999999,0.003960720109036712,-0.005310515391375167,0.00662486811220875,-0.9299719760097453,0.01056452385324036,0.00038574486081434476,0.00039265271577170743,4.388887750416033e-05,0.00034185598331018443,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,865624.9999999999,0.0045033577234843475,-0.0035807639549186644,0.005753442559590813,-0.6717656094671114,0.013383732499208103,0.0003687243146563385,0.0005937754998780119,3.3102101286510885e-05,0.0003356222133698276,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,867187.4999999999,0.00429582490279961,-0.005777075440308722,0.0071992160850006095,-0.9314047522718178,0.009780023989969421,0.00036827414509232355,0.0003790916526400249,5.1828712238531505e-05,0.00031644543285379203,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,868749.9999999999,0.004976736197533672,-0.004058406859773785,0.006421726358176657,-0.6841062986800269,0.004944324797788073,0.0003972208667765133,0.0001914188559502726,4.123856941930083e-05,0.00035598229735721244,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,870312.4999999999,0.0047299550180970725,-0.008252548845197417,0.009511941805729831,-1.0503528762169054,0.018398972426920603,0.0006167383762179452,0.0010380519534285643,9.047703691559089e-05,0.0005262613393023543,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,871874.9999999999,0.00628109262033974,-0.004869119611997554,0.00794735492483037,-0.6594366595042146,0.009229879746148048,0.00028359949885721074,0.00031170322128193476,6.316045030122555e-05,0.0002204390485559852,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,873437.4999999999,0.008066090337358467,-0.006996326768038647,0.010677565339327207,-0.7144951794693903,0.01626518048728883,0.00045095220243447523,0.0007487527877700843,0.00011401040157560173,0.0003369418008588735,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,874999.9999999999,0.002385977049230784,-0.0009532970473264895,0.0025693699110671945,-0.3801111276121394,0.008834473704139851,0.0002920169329778651,0.0003444916908199452,6.601661739897443e-06,0.00028541527123796765,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,876562.4999999999,0.002450057929701999,-0.013454882986183242,0.013676134688967454,-1.3906755266102202,0.013106715971029352,0.0004636831664458012,0.000625085334435004,0.0001870366600307789,0.0002766465064150223,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,878124.9999999999,0.012641226319829566,-0.007159323858982193,0.014527784448667437,-0.5153072012848574,0.012502586492661597,0.0006188660701651938,0.0006549974947881794,0.0002110565209869434,0.00040780954917825037,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,879687.4999999999,0.0045615505096950676,-0.004174525977445345,0.006183397948447548,-0.7411252415744554,0.009040034107923187,0.00019110061941473626,0.00029962723769748453,3.823441018886535e-05,0.0001528662092258709,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,881249.9999999999,0.007022111434414002,-0.004217298856554647,0.008191193969307833,-0.5408415886842786,0.014175698018058612,0.0006226627395935301,0.0007802736446547987,6.7095658642825e-05,0.0005555670809507051,5,True,True,True,False,-24.6,0.0301,[333333.3]
e3_20260209T054900Z,single_tone,3200000.0,882812.4999999999,0.0030151285248782595,-0.003912663514225132,0.00493962911533681,-0.9142362325382152,0.010670798759850749,0.00027784163607818613,0.0003779064555236791,2.4399935797083112e-05,0.00025344170028110305,5,True,True,True,False,-24.6,0.0301,[333333.3]
