mode,passband_estimate_hz,rolloff_metric_db_per_hz,ripple_db,fit_residuals_db,sample_rate_hz,fir_mode,selected_power_dbm,selected_point_count,recommended_fraction,peak_frequency_hz,peak_gain_db
default@1.0MHz,412377.05006142636,0.00017479145851423644,2.4010757100167233,10.344986016620508,1000000.026,default,-30.0,50,0.46,318209.7384130214,0.0
default@1.6MHz,705207.5864465158,0.00018911744050196836,2.569854699795134,10.512431019691462,1600000.0,default,-30.0,50,0.42,240098.12225387653,0.0
default@2.4MHz,983227.6384006783,0.00021504160816204578,2.1732312425247575,10.4865738249676,2400000.0,default,-30.0,50,0.4,300205.4975167005,0.0
default@3.2MHz,887723.2455878998,0.0001276870221072201,2.4055568812016865,11.423440643479958,3200000.0,default,-30.0,50,0.52,270224.34730119887,0.0
