run_id,experiment,sample_rate_hz,center_frequency_hz,tones_hz,source_power_dbm,mixer_config,cable_config,n_samples,run_kind,status,n_blocks_saved,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f1478261_idx16_fir_default__pm10p0,E1,1000000.026490954,0.0,[1478260.8695652173],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1478261_idx16_fir_default__pp0p0,E1,1000000.026490954,0.0,[1478260.8695652173],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1478261_idx16_fir_default__pp10p0,E1,1000000.026490954,0.0,[1478260.8695652173],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1565217.3913043477],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1565217.3913043477],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1565217.3913043477],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1565217_idx17_fir_default__pm10p0,E1,1000000.026490954,0.0,[1565217.3913043477],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1565217_idx17_fir_default__pp0p0,E1,1000000.026490954,0.0,[1565217.3913043477],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1565217_idx17_fir_default__pp10p0,E1,1000000.026490954,0.0,[1565217.3913043477],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1652173.9130434783],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1652173.9130434783],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1652173.9130434783],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1652174_idx18_fir_default__pm10p0,E1,1000000.026490954,0.0,[1652173.9130434783],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1652174_idx18_fir_default__pp0p0,E1,1000000.026490954,0.0,[1652173.9130434783],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1652174_idx18_fir_default__pp10p0,E1,1000000.026490954,0.0,[1652173.9130434783],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1739130.4347826086],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1739130.4347826086],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1739130.4347826086],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1739130_idx19_fir_default__pm10p0,E1,1000000.026490954,0.0,[1739130.4347826086],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1739130_idx19_fir_default__pp0p0,E1,1000000.026490954,0.0,[1739130.4347826086],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1739130_idx19_fir_default__pp10p0,E1,1000000.026490954,0.0,[1739130.4347826086],10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f173913_idx01_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[173913.04347826086],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f173913_idx01_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[173913.04347826086],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f173913_idx01_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[173913.04347826086],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1826087_idx20_fir_alias_hack__pm30p0,E1,1000000.026490954,0.0,[1826086.956521739],-30.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1826087_idx20_fir_alias_hack__pm40p0,E1,1000000.026490954,0.0,[1826086.956521739],-40.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1826087_idx20_fir_alias_hack__pm50p0,E1,1000000.026490954,0.0,[1826086.956521739],-50.0,direct_sdr:alias_hack,siggen_to_sdr_direct,2048,power_tier_capture,captured_guard_fail,5,1000000.0,1000000.026490954,0.02649095398373902,True,False
e1_sr1000000_f1826087_idx20_fir_default__pm10p0,E1,1000000.026490954,0.0,[1826086.956521739],-10.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
e1_sr1000000_f1826087_idx20_fir_default__pp0p0,E1,1000000.026490954,0.0,[1826086.956521739],0.0,direct_sdr:default,siggen_to_sdr_direct,2048,power_tier_capture,captured,5,1000000.0,1000000.026490954,0.02649095398373902,True,True
