run_id,f_true_hz,sample_rate_hz,predicted_alias_hz,measured_alias_hz,residual_hz,abs_residual_hz,uncertainty_hz,fir_mode,power_tier_dbm,status,adc_passes_guard,adc_is_clipped,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f1130435_idx12_fir_default__pp0p0,1130434.7826086956,1000000.026490954,130434.7561177417,130371.09720365466,-63.658914087034645,63.658914087034645,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f1130435_idx12_fir_default__pp10p0,1130434.7826086956,1000000.026490954,130434.7561177417,130371.09720365466,-63.658914087034645,63.658914087034645,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm30p0,1217391.3043478262,1000000.026490954,217391.27785687207,217285.1620060911,-106.11585078097414,106.11585078097414,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm40p0,1217391.3043478262,1000000.026490954,217391.27785687207,217285.1620060911,-106.11585078097414,106.11585078097414,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1217391_idx13_fir_alias_hack__pm50p0,1217391.3043478262,1000000.026490954,217391.27785687207,217285.1620060911,-106.11585078097414,106.11585078097414,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1217391_idx13_fir_default__pm10p0,1217391.3043478262,1000000.026490954,217391.27785687207,217285.1620060911,-106.11585078097414,106.11585078097414,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1217391_idx13_fir_default__pp0p0,1217391.3043478262,1000000.026490954,217391.27785687207,217285.1620060911,-106.11585078097414,106.11585078097414,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f1217391_idx13_fir_default__pp10p0,1217391.3043478262,1000000.026490954,217391.27785687207,217285.1620060911,-106.11585078097414,106.11585078097414,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f1304348_idx14_fir_alias_hack__pm30p0,1304347.8260869565,1000000.026490954,304347.79959600244,304199.22680852754,-148.5727874748991,148.5727874748991,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1304348_idx14_fir_alias_hack__pm40p0,1304347.8260869565,1000000.026490954,304347.79959600244,304199.22680852754,-148.5727874748991,148.5727874748991,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1304348_idx14_fir_alias_hack__pm50p0,1304347.8260869565,1000000.026490954,304347.79959600244,304199.22680852754,-148.5727874748991,148.5727874748991,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1304348_idx14_fir_default__pm10p0,1304347.8260869565,1000000.026490954,304347.79959600244,304199.22680852754,-148.5727874748991,148.5727874748991,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1304348_idx14_fir_default__pp0p0,1304347.8260869565,1000000.026490954,304347.79959600244,304199.22680852754,-148.5727874748991,148.5727874748991,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f1304348_idx14_fir_default__pp10p0,1304347.8260869565,1000000.026490954,304347.79959600244,304199.22680852754,-148.5727874748991,148.5727874748991,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f1391304_idx15_fir_alias_hack__pm30p0,1391304.347826087,1000000.026490954,391304.3213351328,391113.291610964,-191.02972416882403,191.02972416882403,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1391304_idx15_fir_alias_hack__pm40p0,1391304.347826087,1000000.026490954,391304.3213351328,391113.291610964,-191.02972416882403,191.02972416882403,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1391304_idx15_fir_alias_hack__pm50p0,1391304.347826087,1000000.026490954,391304.3213351328,391113.291610964,-191.02972416882403,191.02972416882403,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1391304_idx15_fir_default__pm10p0,1391304.347826087,1000000.026490954,391304.3213351328,391113.291610964,-191.02972416882403,191.02972416882403,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1391304_idx15_fir_default__pp0p0,1391304.347826087,1000000.026490954,391304.3213351328,391113.291610964,-191.02972416882403,191.02972416882403,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f1391304_idx15_fir_default__pp10p0,1391304.347826087,1000000.026490954,391304.3213351328,391113.291610964,-191.02972416882403,191.02972416882403,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f1478261_idx16_fir_alias_hack__pm30p0,1478260.8695652173,1000000.026490954,478260.8430742632,478222.6689185744,-38.17415568878641,38.17415568878641,267.4426621166232,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1478261_idx16_fir_alias_hack__pm40p0,1478260.8695652173,1000000.026490954,478260.8430742632,478027.35641340044,-233.48666086274898,233.48666086274898,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1478261_idx16_fir_alias_hack__pm50p0,1478260.8695652173,1000000.026490954,478260.8430742632,478027.35641340044,-233.48666086274898,233.48666086274898,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1478261_idx16_fir_default__pm10p0,1478260.8695652173,1000000.026490954,478260.8430742632,478125.0126659875,-135.8304082757095,135.8304082757095,218.3660192124319,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1478261_idx16_fir_default__pp0p0,1478260.8695652173,1000000.026490954,478260.8430742632,478222.6689185744,-38.17415568878641,38.17415568878641,267.4426621166232,default,0.0,captured,True,False,True,True
e1_sr1000000_f1478261_idx16_fir_default__pp10p0,1478260.8695652173,1000000.026490954,478260.8430742632,478222.6689185745,-38.17415568867,38.17415568867,267.4426621166232,default,10.0,captured,True,False,True,True
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm30p0,1565217.3913043477,1000000.026490954,-434782.6616775604,-434570.3240121822,212.3376653782325,212.3376653782325,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm40p0,1565217.3913043477,1000000.026490954,-434782.6616775604,-434570.3240121822,212.3376653782325,212.3376653782325,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1565217_idx17_fir_alias_hack__pm50p0,1565217.3913043477,1000000.026490954,-434782.6616775604,-434765.63651735615,17.025160204269923,17.025160204269923,436.7320384248899,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1565217_idx17_fir_default__pm10p0,1565217.3913043477,1000000.026490954,-434782.6616775604,-434765.63651735615,17.025160204269923,17.025160204269923,267.4426621166232,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1565217_idx17_fir_default__pp0p0,1565217.3913043477,1000000.026490954,-434782.6616775604,-434667.9802647692,114.681412791193,114.681412791193,218.3660192124319,default,0.0,captured,True,False,True,True
e1_sr1000000_f1565217_idx17_fir_default__pp10p0,1565217.3913043477,1000000.026490954,-434782.6616775604,-434765.63651735627,17.025160204153508,17.025160204153508,267.4426621166232,default,10.0,captured,True,False,True,True
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm30p0,1652173.9130434783,1000000.026490954,-347826.1399384296,-347656.25920974574,169.88072868384188,169.88072868384188,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm40p0,1652173.9130434783,1000000.026490954,-347826.1399384296,-347656.25920974574,169.88072868384188,169.88072868384188,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm50p0,1652173.9130434783,1000000.026490954,-347826.1399384296,-347656.25920974574,169.88072868384188,169.88072868384188,0.0,alias_hack,-50.0,captured_guard_fail,False,False,True,False
e1_sr1000000_f1652174_idx18_fir_default__pm10p0,1652173.9130434783,1000000.026490954,-347826.1399384296,-347656.25920974574,169.88072868384188,169.88072868384188,0.0,default,-10.0,captured,True,False,True,True
e1_sr1000000_f1652174_idx18_fir_default__pp0p0,1652173.9130434783,1000000.026490954,-347826.1399384296,-347656.25920974574,169.88072868384188,169.88072868384188,0.0,default,0.0,captured,True,False,True,True
e1_sr1000000_f1652174_idx18_fir_default__pp10p0,1652173.9130434783,1000000.026490954,-347826.1399384296,-347656.25920974574,169.88072868384188,169.88072868384188,0.0,default,10.0,captured,True,False,True,True
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm30p0,1739130.4347826086,1000000.026490954,-260869.6181992992,-260742.19440730932,127.42379198988783,127.42379198988783,0.0,alias_hack,-30.0,captured,True,False,True,True
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm40p0,1739130.4347826086,1000000.026490954,-260869.6181992992,-260742.19440730932,127.42379198988783,127.42379198988783,0.0,alias_hack,-40.0,captured_guard_fail,False,False,True,False
