run_id,window,sample_rate_hz,n_samples,n_blocks_used,frequency_hz,power_v2
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1599999.9999999998,2.720189343362574e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1598437.4999999998,2.1858533141387374e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1596874.9999999998,4.1588354436297446e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1595312.4999999998,1.3599311746139513e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1593749.9999999998,8.457131016436895e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1592187.4999999998,5.8810932963368807e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1590624.9999999998,0.00010228202836271498
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1589062.4999999998,6.261706655293315e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1587499.9999999998,2.3413141324322793e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1585937.4999999998,8.018638241644658e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1584374.9999999998,5.354170736834137e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1582812.4999999998,0.00016465828171979653
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1581249.9999999998,0.00013740076360744803
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1579687.4999999998,6.868396928051649e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1578124.9999999998,2.4362089036813483e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1576562.4999999998,6.496439345934999e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1574999.9999999998,2.7748052374935527e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1573437.4999999998,4.4006370683642925e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1571874.9999999998,5.2639858994260286e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1570312.4999999998,0.00010288516274408796
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1568749.9999999998,9.139748138206017e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1567187.4999999998,2.5363891150866415e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1565624.9999999998,1.1136846470236282e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1564062.4999999998,1.5755832733390023e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1562499.9999999998,1.2800539349851486e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1560937.4999999998,4.790341754832586e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1559374.9999999998,9.699691321517867e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1557812.4999999998,7.353734243452065e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1556249.9999999998,3.635835826060359e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1554687.4999999998,2.3213063192317105e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1553124.9999999998,1.488781780440744e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1551562.4999999998,2.794934314364127e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1549999.9999999998,3.654952585557255e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1548437.4999999998,6.903151632368595e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1546874.9999999998,3.541336714833236e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1545312.4999999998,2.9585556451181416e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1543749.9999999998,9.496892335679981e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1542187.4999999998,0.00013895986098689454
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1540624.9999999998,0.00011377013866082925
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1539062.4999999998,8.260790154493501e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1537499.9999999998,4.605132584261037e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1535937.4999999998,3.487298863215195e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1534374.9999999998,0.00016201864824372025
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1532812.4999999998,0.0001307038697780021
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1531249.9999999998,6.117418922789629e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1529687.4999999998,6.90959786956276e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1528124.9999999998,3.2006537357465346e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1526562.4999999998,1.1603046257545602e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1524999.9999999998,9.028578059476177e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1523437.4999999998,4.922817758833771e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1521874.9999999998,0.00013995413740047194
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1520312.4999999998,9.132820191238682e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1518749.9999999998,9.736410106448483e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1517187.4999999998,3.655582603830073e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1515624.9999999998,7.052691911258444e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1514062.4999999998,6.0661172959351845e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1512499.9999999998,1.4209997138703967e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1510937.4999999998,3.815262500585895e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1509374.9999999998,2.204433110031616e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1507812.4999999998,7.009219303998717e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1506249.9999999998,5.147401153716792e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1504687.4999999998,7.451607613076253e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1503124.9999999998,0.0001202240533124772
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1501562.4999999998,0.00024895183948248035
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1499999.9999999998,0.0012061851670360647
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1498437.4999999998,0.0009504661626085998
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1496874.9999999998,0.0001423429774043657
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1495312.4999999998,0.00010375912605133409
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1493749.9999999998,9.154951553186287e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1492187.4999999998,3.7615699237370437e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1490624.9999999998,2.9312800995054027e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1489062.4999999998,2.0133861585302132e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1487499.9999999998,2.328916406898669e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1485937.4999999998,2.9799487821148904e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1484374.9999999998,2.6482345516883288e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1482812.4999999998,4.274359347544003e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1481249.9999999998,3.0734070701711285e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1479687.4999999998,8.469024891146593e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1478124.9999999998,6.678640970246409e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1476562.4999999998,2.0873454689887814e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1474999.9999999998,3.288671846917189e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1473437.4999999998,8.766356320785435e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1471874.9999999998,8.766272423124842e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1470312.4999999998,2.603650996082239e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1468749.9999999998,1.7343150770553953e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1467187.4999999998,2.816633741441689e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1465624.9999999998,6.298659996383566e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1464062.4999999998,0.00011038988243427649
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1462499.9999999998,5.994661801326852e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1460937.4999999998,9.385360660371696e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1459374.9999999998,1.4231395326009453e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1457812.4999999998,1.832660442429423e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1456249.9999999998,4.344138965379223e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1454687.4999999998,3.98193593123754e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1453124.9999999998,6.004887356924586e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1451562.4999999998,0.0008386897015969345
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1449999.9999999998,0.0018745120342620464
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1448437.4999999998,0.0005670220001760043
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1446874.9999999998,3.4538000817838914e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1445312.4999999998,9.577793381020497e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1443749.9999999998,7.925770500236281e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1442187.4999999998,3.2712508844179575e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1440624.9999999998,4.1934125824632826e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1439062.4999999998,6.500708495196939e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1437499.9999999998,6.489498946301673e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1435937.4999999998,3.3247466445494556e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1434374.9999999998,2.5225528761221246e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1432812.4999999998,3.3610664634054754e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1431249.9999999998,2.6887363331487243e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1429687.4999999998,1.0841169318692896e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1428124.9999999998,2.357031737242619e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1426562.4999999998,6.822495907123128e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1424999.9999999998,0.00011638147738290488
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1423437.4999999998,4.936312603066313e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1421874.9999999998,3.600531717875549e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1420312.4999999998,0.00027081420501437963
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1418749.9999999998,0.0014009474587092824
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1417187.4999999998,0.005119450817563474
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1415624.9999999998,0.006735598412412775
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1414062.4999999998,0.001541692506798954
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1412499.9999999998,0.00019214613067170184
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1410937.4999999998,0.00011065633037444034
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1409374.9999999998,0.00010771519495229916
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1407812.4999999998,4.995158005511224e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1406249.9999999998,3.423253040586066e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1404687.4999999998,2.271102358811347e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1403124.9999999998,8.182054313735145e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1401562.4999999998,0.00016260797659267568
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1399999.9999999998,8.841107445083584e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1398437.4999999998,3.7251195462285835e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1396874.9999999998,7.213545781358335e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1395312.4999999998,3.045050257059951e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1393749.9999999998,5.231434039128407e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1392187.4999999998,0.00011156845523075138
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1390624.9999999998,8.206107074326994e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1389062.4999999998,7.278177985788252e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1387499.9999999998,6.845809984791215e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1385937.4999999998,4.643629155633911e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1384374.9999999998,6.811243164976533e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1382812.4999999998,0.00013359993932619582
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1381249.9999999998,0.00020645833964005842
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1379687.4999999998,0.00014007167738089074
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1378124.9999999998,2.6080532485042283e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1376562.4999999998,2.8285522015904073e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1374999.9999999998,0.0001005487961745275
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1373437.4999999998,8.876219014036061e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1371874.9999999998,1.1622168958586168e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1370312.4999999998,1.4767056420380234e-06
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1368749.9999999998,0.00021117654383441341
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1367187.4999999998,0.0011415582072263337
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1365624.9999999998,0.0006254116214388622
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1364062.4999999998,2.1795600492460526e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1362499.9999999998,5.017140117863267e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1360937.4999999998,6.43070555113732e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1359374.9999999998,1.2301491789793804e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1357812.4999999998,1.6173740560776425e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1356249.9999999998,1.094374003435021e-05
e3_20260209T054708Z,blackman,3200000.0,2048,5,-1354687.4999999998,2.030021237082401e-05
